City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,lorengau,-2.0226,147.2712,25.35,91,100,3.02,PG,1681093029
116,avarua,-21.2078,-159.775,28.03,69,29,4.12,CK,1681093030
117,korla,41.7597,86.1469,12.28,33,71,0.95,CN,1681093030
118,bongandanga,1.5,21.05,22.23,82,100,0.39,CD,1681093031
119,yulara,-25.2406,130.9889,30.98,21,26,4.66,AU,1681092736
120,vardo,70.3705,31.1107,1.99,75,48,7.2,NO,1681093031
121,vila velha,-20.3297,-40.2925,21.97,94,75,3.09,BR,1681093032
122,taltal,-25.4,-70.4833,19.86,78,9,1.85,CL,1681093032
123,moose factory,51.2585,-80.6094,11.0,34,0,6.69,CA,1681093032
124,dingle,10.9995,122.6711,29.0,66,100,4.68,PH,1681093033
125,norman wells,65.282,-126.8329,2.02,64,40,4.63,CA,1681093033
126,grasse,43.6667,6.9167,8.98,79,75,1.54,FR,1681092961
127,sola,-13.8833,167.55,28.46,77,100,6.48,VU,1681093034
128,veraval,20.9,70.3667,25.21,49,0,5.5,IN,1681093034
129,faanui,-16.4833,-151.75,27.72,74,99,7.54,PF,1681093035
130,cameron park,38.6688,-120.9872,21.78,42,57,1.23,US,1681093035
131,kavaratti,10.5669,72.642,27.88,72,5,1.52,IN,1681092785
132,roald,62.5833,6.1333,5.74,87,100,2.06,NO,1681093036
133,alta floresta,-9.8756,-56.0861,22.09,97,85,1.42,BR,1681093036
134,cherskiy,68.75,161.3,-11.78,71,0,1.98,RU,1681093037
135,iranshahr,27.2025,60.6848,19.19,30,0,0.0,IR,1681093037
136,fairbanks,64.8378,-147.7164,-10.78,57,75,5.14,US,1681093037
137,majenang,-7.2975,108.7642,27.95,78,85,1.61,ID,1681093038
138,devils lake,48.1128,-98.8651,2.75,82,0,4.12,US,1681093038
139,leshukonskoye,64.8989,45.7622,-5.8,99,100,2.0,RU,1681093038
140,ahipara,-35.1667,173.1667,21.41,75,0,7.36,NZ,1681093039
141,doha,25.2867,51.5333,20.94,60,0,2.06,QA,1681093039
142,pandan niog,6.2282,120.5631,27.85,76,100,4.49,PH,1681093039
143,banepa,27.6298,85.5214,17.18,48,20,0.0,NP,1681093040
144,los llanos de aridane,28.6585,-17.9182,17.86,71,100,6.17,ES,1681093040
145,mitchell,43.7094,-98.0298,12.84,57,0,4.12,US,1681092943
146,pisco,-13.7,-76.2167,23.03,83,0,6.17,PE,1681093041
147,taksimo,56.3444,114.8794,-4.85,85,100,0.84,RU,1681093042
148,san patricio,28.017,-97.5169,22.31,75,100,4.32,US,1681093042
149,grand gaube,-20.0064,57.6608,25.22,78,100,2.24,MU,1681093043
150,port alfred,-33.5906,26.891,15.5,80,19,6.72,ZA,1681093043
151,san quintin,30.4833,-115.95,15.04,83,0,5.69,MX,1681093043
152,geraldton,-28.7667,114.6,24.23,46,8,1.54,AU,1681093044
153,guerrero negro,27.9769,-114.0611,15.14,84,3,6.27,MX,1681093044
154,shimoda,34.6667,138.95,20.06,49,0,5.83,JP,1681093044
